match_id,date,venue,city,teams,team1,team2,toss_winner,toss_decision,winner,result,season,match_type,gender,total_balls
1136591,2018-05-01,M.Chinnaswamy Stadium,Bengaluru,"Royal Challengers Bangalore, Mumbai Indians",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,,2018,T20,male,40
1136592,2018-05-02,Arun Jaitley Stadium,Delhi,"Delhi Daredevils, Rajasthan Royals",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Delhi Daredevils,,2018,T20,male,30
1136593,2018-05-03,Eden Gardens,Kolkata,"Chennai Super Kings, Kolkata Knight Riders",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,2018,T20,male,38
1136594,2018-05-04,Holkar Cricket Stadium,Indore,"Kings XI Punjab, Mumbai Indians",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,2018,T20,male,39
1136595,2018-05-05,Maharashtra Cricket Association Stadium,Pune,"Royal Challengers Bangalore, Chennai Super Kings",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,,2018,T20,male,38
1136596,2018-05-05,Rajiv Gandhi International Stadium,Hyderabad,"Delhi Daredevils, Sunrisers Hyderabad",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,,2018,T20,male,40
1136597,2018-05-06,Wankhede Stadium,Mumbai,"Mumbai Indians, Kolkata Knight Riders",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,,2018,T20,male,40
1136598,2018-05-06,Holkar Cricket Stadium,Indore,"Rajasthan Royals, Kings XI Punjab",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,2018,T20,male,39
1136599,2018-05-07,Rajiv Gandhi International Stadium,Hyderabad,"Sunrisers Hyderabad, Royal Challengers Bangalore",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,,2018,T20,male,40
1136600,2018-05-08,Sawai Mansingh Stadium,Jaipur,"Rajasthan Royals, Kings XI Punjab",Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,,2018,T20,male,40
1136601,2018-05-09,Eden Gardens,Kolkata,"Mumbai Indians, Kolkata Knight Riders",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,,2018,T20,male,39
